"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
"SZKO?A PODSTAWOWA NR 4 IM. JANA PAW?A II, Z ODDZIA?AMI PRZEDSZKOLNYMI I ODDZIA?AMI SPORTOWYMI W PRUSZKOWIE ","UL. HUBALA","05-800","PRUSZK?W","20.81122021534552","52.16432045510862","69.55","1013.0","-0.7000000000000001","38.233333333333334","26.958333333333332","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA W OTWOCKU WIELKIM","UL. ZAMKOWA","05-480","OTWOCK WIELKI","21.249772","52.054498","79.93333333333334","1012.6666666666666","0.3666666666666667","30.083333333333332","23.40833333333333","2023-04-05 00:00:00.0"
"NIEPUBLICZNA SZKO?A PODSTAWOWA WIELICZKA MONTESSORI SCHOOL W WIELICKIEJ SZKOLE MONTESSORI","UL. JANA MIKO?AJA DANI?OWICZA","32-020","WIELICZKA","20.05646002","49.98203058","50.725","993.4333333333334","0.30833333333333335","12.15","10.841666666666667","2023-04-05 00:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA W OBRAZOWIE","","27-641","OBRAZ?W","21.657963199999998","50.69068702480904","78.26666666666667","997.4416666666666","-1.325","29.95","25.8","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA W BRZOZOWIE","UL. MIODOWA","86-200","BRZOZOWO","18.4238755","53.314175","100.0","1013.6750000000001","-0.275","62.824999999999996","40.94166666666667","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA NR 199 IM. JULIANA TUWIMA W ?ODZI","UL. J?ZEFA ELSNERA","92-504","??D?-WIDZEW","19.531114643683964","51.75675184434886 ","81.70833333333333","996.1500000000001","-0.27499999999999997","30.933333333333334","28.008333333333336","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA IM. PIOTRA ?CIEGIENNEGO W B?CZKOWIE","UL. JANA PAW?A II","26-008","B?CZK?W","20.80287618","50.87879103","71.28333333333333","987.9166666666666","-2.341666666666667","35.4","25.358333333333334","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA IM.KSI?CIA KARDYNA?A ADAMA STEFANA SAPIEHY W BYSINIE","","32-400","BYSINA","19.8876673","49.8279242","74.72500000000001","978.3916666666668","-1.0250000000000001","20.2","20.008333333333333","2023-04-05 00:00:00.0"
"TECHNIKUM W NAKLE ?L?SKIM","UL. GUSTAWA MORCINKA","42-620","NAK?O ?L?SKIE","18.899961","50.436198","68.77499999999999","986.3083333333333","-2.4833333333333334","56.28333333333333","42.358333333333334","2023-04-05 00:00:00.0"
"ZESP?? SZK?? OG?LNOKSZTA?C?CYCH NR 5 - IV LICEUM OG?LNOKSZTA?C?CE Z ODDZIA?AMI MISTRZOSTWA SPORTOWEGO IM. MARYNARZY WOJSK OCHRONY POGRANICZA W GDA?SKU","UL. NA ZASP?","80-546","GDA?SK","18.662468","54.402127","54.6","1024.9833333333333","2.091666666666667","0.27499999999999997","0.10833333333333334","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA IM. JANA DUNIN-BRZEZI?SKIEGO W DROGINI ","","32-400","DROGINIA","20.008008","49.8469429","58.23333333333333","990.2833333333333","-0.9","18.691666666666666","16.233333333333334","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA NR 8 IM. KRZYSZTOFA KAMILA BACZY?SKIEGO W TARNOWIE","UL. BITWY POD STUDZIANKAMI","33-100","TARN?W","21.00415196","50.01968672","61.46666666666667","995.3916666666665","0.5499999999999999","17.708333333333332","14.725","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA IM.TADEUSZA KO?CIUSZKI W G?OGOCZOWIE","","32-444","G?OGOCZ?W","19.8764713","49.8949648","56.34166666666667","994.5083333333333","0.525","16.483333333333334","16.05","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA IM. POWSTA?C?W STYCZNIOWYCH W DWIKOZACH","UL. SP??DZIELCZA","27-620","DWIKOZY","21.78213112698172","50.737630724889875","76.7","1006.2333333333332","-0.44166666666666665","38.03333333333334","30.041666666666668","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA IM JANA KOCHANOWSKIEGO W RACIECHOWICACH","","32-415","RACIECHOWICE","20.1425376","49.8447436","58.64166666666667","983.7916666666666","-0.8166666666666668","20.216666666666665","20.758333333333333","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA IM. 100-LECIA RUCHU LUDOWEGO W WIERZCHOS?AWICACH","","33-122","WIERZCHOS?AWICE","20.8578193","50.02129351","56.333333333333336","1000.6666666666666","1.675","17.633333333333333","16.875","2023-04-05 00:00:00.0"
